SPEC plain|||false|S  61|E  61
SPEC nested|||false|S  61|S  62|E  62|E  61
SPEC chardata|||false|S  61|C 783c79267a|E  61
SPEC chardata-nl|||false|S  61|C 780a790d097a|E  61
SPEC elem-space|||false|S 687474703a2f2f64 61|E 687474703a2f2f64 61
SPEC attr-plain|||false|S  61  6b 763c22|E  61
SPEC attr-empty-name|||false|S  61   76|E  61
SPEC attr-ns|||false|S  61 687474703a2f2f782f666f6f 6b 76|E  61
SPEC attr-ns-xml|||false|S  61 687474703a2f2f7777772e77332e6f72672f584d4c2f313939382f6e616d657370616365 6c616e67 656e|E  61
SPEC attr-ns-trailing-slash|||false|S  61 687474703a2f2f782f666f6f2f 6b 76|E  61
SPEC attr-ns-bad-name|||false|S  61 687474703a2f2f782f31666f6f 6b 76|E  61
SPEC attr-ns-colon|||false|S  61 687474703a2f2f782f663a6f6f 6b 76|E  61
SPEC attr-ns-xmlish|||false|S  61 687474703a2f2f782f786d6c666f6f 6b 76|E  61
SPEC attr-ns-XMLish|||false|S  61 687474703a2f2f782f584d4c666f6f 6b 76|E  61
SPEC attr-ns-noslash|||false|S  61 666f6f 6b 76|E  61
SPEC attr-ns-empty|||false|S  61 2f 6b 76|E  61
SPEC attr-ns-two-same-tail|||false|S  61 687474703a2f2f782f666f6f 6b 31 687474703a2f2f792f666f6f 6a 32|E  61
SPEC attr-ns-reuse|||false|S  61 687474703a2f2f782f666f6f 6b 31 687474703a2f2f782f666f6f 6a 32|E  61
SPEC attr-ns-scoped|||false|S  61|S  62 687474703a2f2f782f666f6f 6b 31|E  62|S  63 687474703a2f2f792f666f6f 6a 32|E  63|E  61
SPEC comment|||false|S  61|M 6869|E  61
SPEC comment-bad|||false|S  61|M 612d2d3e62|E  61
SPEC procinst-xml-first|||false|P 786d6c 76657273696f6e3d22312e3022|S  61|E  61
SPEC procinst-xml-late|||false|S  61|P 786d6c 78|E  61
SPEC procinst-other|||false|P 706870 6563686f|S  61|E  61
SPEC procinst-no-inst|||false|P 706870 |S  61|E  61
SPEC procinst-bad-target|||false|P 3178 79|S  61|E  61
SPEC procinst-bad-inst|||false|P 706870 613f3e62|S  61|E  61
SPEC directive|||false|D 444f43545950452061|S  61|E  61
SPEC directive-nested|||false|D 444f43545950452061205b3c21454c454d454e5420613e5d|S  61|E  61
SPEC directive-unmatched-gt|||false|D 613e62|S  61|E  61
SPEC directive-unmatched-lt|||false|D 613c62|S  61|E  61
SPEC directive-quote|||false|D 6120223c3e222062|S  61|E  61
SPEC directive-apos|||false|D 6120273c3e272062|S  61|E  61
SPEC directive-comment|||false|D 61203c212d2d203c203e202d2d3e2062|S  61|E  61
SPEC directive-open-comment|||false|D 61203c212d2d203c203e2062|S  61|E  61
SPEC directive-open-quote|||false|D 61202278|S  61|E  61
SPEC start-no-name|||false|S  
SPEC end-no-name|||false|S  61|E  
SPEC end-no-start|||false|E  61
SPEC end-mismatch-local|||false|S  61|E  62
SPEC end-mismatch-space|||false|S 687474703a2f2f64 61|E 687474703a2f2f65 61
SPEC unclosed|||true|S  61
SPEC closed-then-write|||true|S  61|E  61
SPEC indent||2020|false|S  61|S  62|C 78|E  62|S  63|E  63|E  61
SPEC indent-prefix|7c|2e2e|false|S  61|S  62|E  62|E  61
SPEC prefix-only|3e||false|S  61|S  62|E  62|E  61
SPEC indent-deep||20|false|S  61|S  62|S  63|E  63|E  62|E  61
--
plain|3c613e3c2f613e|
nested|3c613e3c623e3c2f623e3c2f613e|
chardata|3c613e78266c743b7926616d703b7a3c2f613e|
chardata-nl|3c613e780a79262378443b262378393b7a3c2f613e|
elem-space|3c6120786d6c6e733d22687474703a2f2f64223e3c2f613e|
attr-plain|3c61206b3d2276266c743b262333343b223e3c2f613e|
attr-empty-name|3c613e3c2f613e|
attr-ns|3c6120786d6c6e733a666f6f3d22687474703a2f2f782f666f6f2220666f6f3a6b3d2276223e3c2f613e|
attr-ns-xml|3c6120786d6c3a6c616e673d22656e223e3c2f613e|
attr-ns-trailing-slash|3c6120786d6c6e733a666f6f3d22687474703a2f2f782f666f6f2f2220666f6f3a6b3d2276223e3c2f613e|
attr-ns-bad-name|3c6120786d6c6e733a5f3d22687474703a2f2f782f31666f6f22205f3a6b3d2276223e3c2f613e|
attr-ns-colon|3c6120786d6c6e733a5f3d22687474703a2f2f782f663a6f6f22205f3a6b3d2276223e3c2f613e|
attr-ns-xmlish|3c6120786d6c6e733a5f786d6c666f6f3d22687474703a2f2f782f786d6c666f6f22205f786d6c666f6f3a6b3d2276223e3c2f613e|
attr-ns-XMLish|3c6120786d6c6e733a5f584d4c666f6f3d22687474703a2f2f782f584d4c666f6f22205f584d4c666f6f3a6b3d2276223e3c2f613e|
attr-ns-noslash|3c6120786d6c6e733a666f6f3d22666f6f2220666f6f3a6b3d2276223e3c2f613e|
attr-ns-empty|3c6120786d6c6e733a5f3d222f22205f3a6b3d2276223e3c2f613e|
attr-ns-two-same-tail|3c6120786d6c6e733a666f6f3d22687474703a2f2f782f666f6f2220666f6f3a6b3d22312220786d6c6e733a666f6f5f313d22687474703a2f2f792f666f6f2220666f6f5f313a6a3d2232223e3c2f613e|
attr-ns-reuse|3c6120786d6c6e733a666f6f3d22687474703a2f2f782f666f6f2220666f6f3a6b3d22312220666f6f3a6a3d2232223e3c2f613e|
attr-ns-scoped|3c613e3c6220786d6c6e733a666f6f3d22687474703a2f2f782f666f6f2220666f6f3a6b3d2231223e3c2f623e3c6320786d6c6e733a666f6f3d22687474703a2f2f792f666f6f2220666f6f3a6a3d2232223e3c2f633e3c2f613e|
comment|3c613e3c212d2d68692d2d3e3c2f613e|
comment-bad||tok1:xml: EncodeToken of Comment containing --> marker
procinst-xml-first|3c3f786d6c2076657273696f6e3d22312e30223f3e3c613e3c2f613e|
procinst-xml-late||tok1:xml: EncodeToken of ProcInst xml target only valid for xml declaration, first token encoded
procinst-other|3c3f706870206563686f3f3e3c613e3c2f613e|
procinst-no-inst|3c3f7068703f3e3c613e3c2f613e|
procinst-bad-target||tok0:xml: EncodeToken of ProcInst with invalid Target
procinst-bad-inst||tok0:xml: EncodeToken of ProcInst containing ?> marker
directive|3c21444f435459504520613e3c613e3c2f613e|
directive-nested|3c21444f43545950452061205b3c21454c454d454e5420613e5d3e3c613e3c2f613e|
directive-unmatched-gt||tok0:xml: EncodeToken of Directive containing wrong < or > markers
directive-unmatched-lt||tok0:xml: EncodeToken of Directive containing wrong < or > markers
directive-quote|3c216120223c3e2220623e3c613e3c2f613e|
directive-apos|3c216120273c3e2720623e3c613e3c2f613e|
directive-comment|3c2161203c212d2d203c203e202d2d3e20623e3c613e3c2f613e|
directive-open-comment||tok0:xml: EncodeToken of Directive containing wrong < or > markers
directive-open-quote||tok0:xml: EncodeToken of Directive containing wrong < or > markers
start-no-name||tok0:xml: start tag with no name
end-no-name||tok1:xml: end tag with no name
end-no-start||tok0:xml: end tag </a> without start tag
end-mismatch-local||tok1:xml: end tag </b> does not match start tag <a>
end-mismatch-space||tok1:xml: end tag </a> in namespace http://e does not match start tag <a> in namespace http://d
unclosed|3c613e|close:unclosed tag <a>
closed-then-write|3c613e3c2f613e|afterclose:use of closed Encoder
indent|3c613e0a20203c623e783c2f623e0a20203c633e3c2f633e0a3c2f613e|
indent-prefix|7c3c613e0a7c2e2e3c623e3c2f623e0a7c3c2f613e|
prefix-only|3e3c613e0a3e3c623e3c2f623e0a3e3c2f613e|
indent-deep|3c613e0a203c623e0a20203c633e3c2f633e0a203c2f623e0a3c2f613e|
